Analyzer,State,ResolvedWindows,ResolvedMinutes,SourceUsed,Disagreement,WindowA,WindowsB,ReasonCode,Note,CorrectiveAction,ApproverName,ApproverDecision,ApprovedAtUTC,GoverningParagraphs,DownHours,ContributingRecords
B15-NOx,auto-approved,2026-04-01T05:00:00+00:00/2026-04-01T07:00:00+00:00,120.0,diluent-propagated (from B15-O2),,,,,Invalid because diluent B15-O2 was down,,auto,diluent-propagation,,(i),2026-04-01T05:00:00+00:00;2026-04-01T06:00:00+00:00,DILUENT:B15-O2;CAP:B15-O2:status-offline:2026-04-01T05:00:00+00:00:2026-04-01T07:00:00+00:00;E03
B15-NOx,auto-approved,2026-04-01T12:00:00+00:00/2026-04-01T14:00:00+00:00,120.0,diluent-propagated (from B15-O2),,,,MM-01,Invalid because diluent B15-O2 was down: B15 O2 manual,,auto,diluent-propagation,,(i),2026-04-01T12:00:00+00:00;2026-04-01T13:00:00+00:00,DILUENT:B15-O2;E08
B15-NOx,auto-approved,2026-04-01T15:00:00+00:00/2026-04-01T16:00:00+00:00,60.0,A only,,2026-04-01T15:00:00+00:00/2026-04-01T16:00:00+00:00,,MM-01,amended to 15-16,,auto,single-source,,(i),2026-04-01T15:00:00+00:00,E10;E10c
B15-NOx,auto-approved,2026-04-01T18:00:00+00:00/2026-04-01T20:00:00+00:00,120.0,B only,,,2026-04-01T18:00:00+00:00/2026-04-01T20:00:00+00:00,OK-01,,,auto,single-source,,(i),2026-04-01T18:00:00+00:00;2026-04-01T19:00:00+00:00,CAP:B15-NOx:status-offline:2026-04-01T18:00:00+00:00:2026-04-01T20:00:00+00:00;E13;E13c
B15-NOx,auto-approved,2026-04-01T20:00:00+00:00/2026-04-01T22:00:00+00:00,120.0,diluent-propagated (from B15-O2),,,,,Invalid because diluent B15-O2 was down,,auto,diluent-propagation,,(i),2026-04-01T20:00:00+00:00;2026-04-01T21:00:00+00:00,DILUENT:B15-O2;CAP:B15-O2:status-offline:2026-04-01T20:00:00+00:00:2026-04-01T22:00:00+00:00;E24
B15-NOx,auto-approved,2026-04-01T22:00:00+00:00/2026-04-01T23:00:00+00:00,60.0,A only,,2026-04-01T22:00:00+00:00/2026-04-01T23:00:00+00:00,,MM-01,late NOx,,auto,single-source,,(i),2026-04-01T22:00:00+00:00,E22
B15-O2,auto-approved,2026-04-01T00:00:00+00:00/2026-04-01T01:00:00+00:00,60.0,A only,,2026-04-01T00:00:00+00:00/2026-04-01T01:00:00+00:00,,MM-01,early O2 blip,,auto,single-source,,(i),2026-04-01T00:00:00+00:00,E17
B15-O2,auto-approved,2026-04-01T05:00:00+00:00/2026-04-01T07:00:00+00:00,120.0,B only,,,2026-04-01T05:00:00+00:00/2026-04-01T07:00:00+00:00,,,,auto,single-source,,(i),2026-04-01T05:00:00+00:00;2026-04-01T06:00:00+00:00,CAP:B15-O2:status-offline:2026-04-01T05:00:00+00:00:2026-04-01T07:00:00+00:00;E03
B15-O2,auto-approved,2026-04-01T12:00:00+00:00/2026-04-01T14:00:00+00:00,120.0,A only,,2026-04-01T12:00:00+00:00/2026-04-01T14:00:00+00:00,,MM-01,B15 O2 manual,,auto,single-source,,(i),2026-04-01T12:00:00+00:00;2026-04-01T13:00:00+00:00,E08
B15-O2,auto-approved,2026-04-01T20:00:00+00:00/2026-04-01T22:00:00+00:00,120.0,B only,,,2026-04-01T20:00:00+00:00/2026-04-01T22:00:00+00:00,,,,auto,single-source,,(i),2026-04-01T20:00:00+00:00;2026-04-01T21:00:00+00:00,CAP:B15-O2:status-offline:2026-04-01T20:00:00+00:00:2026-04-01T22:00:00+00:00;E24
SRU-O2,auto-approved,2026-04-01T02:00:00+00:00/2026-04-01T04:00:00+00:00,120.0,A only,,2026-04-01T02:00:00+00:00/2026-04-01T04:00:00+00:00,,MM-01,SRU O2 manual outage,,auto,single-source,,(i),2026-04-01T02:00:00+00:00;2026-04-01T03:00:00+00:00,E02
SRU-O2,approved,2026-04-01T06:30:00+00:00/2026-04-01T07:30:00+00:00,60.0,pick:corrected,,2026-04-01T06:00:00+00:00/2026-04-01T08:00:00+00:00,,MM-01,"manual O2, pick to follow",,tech,pick:corrected,2026-04-01T12:00:00+00:00,(i),2026-04-01T06:00:00+00:00;2026-04-01T07:00:00+00:00,E20;E20p
SRU-O2,auto-approved,2026-04-01T11:00:00+00:00/2026-04-01T13:00:00+00:00,120.0,B only,,,2026-04-01T11:00:00+00:00/2026-04-01T13:00:00+00:00,,,,auto,single-source,,(i),2026-04-01T11:00:00+00:00;2026-04-01T12:00:00+00:00,CAP:SRU-O2:status-offline:2026-04-01T11:00:00+00:00:2026-04-01T13:00:00+00:00;E07
SRU-O2,auto-approved,2026-04-01T17:00:00+00:00/2026-04-01T19:00:00+00:00,120.0,A only,,2026-04-01T17:00:00+00:00/2026-04-01T19:00:00+00:00,,UK-01,unknown cause,,auto,single-source,,(i),2026-04-01T17:00:00+00:00;2026-04-01T18:00:00+00:00,E12
SRU-O2,auto-approved,2026-04-01T21:00:00+00:00/2026-04-01T23:00:00+00:00,120.0,B only,,,2026-04-01T21:00:00+00:00/2026-04-01T23:00:00+00:00,,,,auto,single-source,,(i),2026-04-01T21:00:00+00:00;2026-04-01T22:00:00+00:00,CAP:SRU-O2:status-offline:2026-04-01T21:00:00+00:00:2026-04-01T23:00:00+00:00;E16;E16d;E16r
SRU-SO2,auto-approved,2026-04-01T02:00:00+00:00/2026-04-01T04:00:00+00:00,120.0,diluent-propagated (from SRU-O2),,,,MM-01,Invalid because diluent SRU-O2 was down: SRU O2 manual outage,,auto,diluent-propagation,,(i),2026-04-01T02:00:00+00:00;2026-04-01T03:00:00+00:00,DILUENT:SRU-O2;E02
SRU-SO2,auto-approved,2026-04-01T04:00:00+00:00/2026-04-01T06:00:00+00:00,120.0,B only,,,2026-04-01T04:00:00+00:00/2026-04-01T06:00:00+00:00,,,,auto,single-source,,(i),2026-04-01T04:00:00+00:00;2026-04-01T05:00:00+00:00,CAP:SRU-SO2:status-offline:2026-04-01T04:00:00+00:00:2026-04-01T06:00:00+00:00;E19
SRU-SO2,auto-approved,2026-04-01T06:00:00+00:00/2026-04-01T08:00:00+00:00,120.0,diluent-propagated (from SRU-O2),,,,MM-01,"Invalid because diluent SRU-O2 was down: manual O2, pick to follow",,auto,diluent-propagation,,(i),2026-04-01T06:00:00+00:00;2026-04-01T07:00:00+00:00,DILUENT:SRU-O2;E20;E20p
SRU-SO2,auto-approved,2026-04-01T08:00:00+00:00/2026-04-01T09:00:00+00:00,60.0,B only,,,2026-04-01T08:00:00+00:00/2026-04-01T09:00:00+00:00,,,,auto,single-source,,(i),,CAP:SRU-SO2:status-offline:2026-04-01T08:00:00+00:00:2026-04-01T09:00:00+00:00
SRU-SO2,pending,2026-04-01T09:00:00+00:00/2026-04-01T11:00:00+00:00,120.0,union (pending),A logs 09:00-11:00; B detects 09:00-10:00 + 10:15-11:00; B shows signal VALID during 10:00-10:15,2026-04-01T09:00:00+00:00/2026-04-01T11:00:00+00:00,2026-04-01T09:00:00+00:00/2026-04-01T10:00:00+00:00;2026-04-01T10:15:00+00:00/2026-04-01T11:00:00+00:00,MM-01,tech says 9-11,,,,,(i),2026-04-01T09:00:00+00:00;2026-04-01T10:00:00+00:00,CAP:SRU-SO2:status-offline:2026-04-01T09:00:00+00:00:2026-04-01T10:00:00+00:00;CAP:SRU-SO2:status-offline:2026-04-01T10:15:00+00:00:2026-04-01T11:00:00+00:00;E09
SRU-SO2,auto-approved,2026-04-01T11:00:00+00:00/2026-04-01T13:00:00+00:00,120.0,diluent-propagated (from SRU-O2),,,,,Invalid because diluent SRU-O2 was down,,auto,diluent-propagation,,(i),2026-04-01T11:00:00+00:00;2026-04-01T12:00:00+00:00,DILUENT:SRU-O2;CAP:SRU-O2:status-offline:2026-04-01T11:00:00+00:00:2026-04-01T13:00:00+00:00;E07
SRU-SO2,auto-approved,2026-04-01T17:00:00+00:00/2026-04-01T19:00:00+00:00,120.0,diluent-propagated (from SRU-O2),,,,UK-01,Invalid because diluent SRU-O2 was down: unknown cause,,auto,diluent-propagation,,(i),2026-04-01T17:00:00+00:00;2026-04-01T18:00:00+00:00,DILUENT:SRU-O2;E12
SRU-SO2,auto-approved,2026-04-01T20:00:00+00:00/2026-04-01T22:00:00+00:00,120.0,A only,,2026-04-01T20:00:00+00:00/2026-04-01T22:00:00+00:00,,MM-01,SO2 own outage,,auto,single-source,,(i),2026-04-01T20:00:00+00:00;2026-04-01T21:00:00+00:00,E15
SRU-SO2,auto-approved,2026-04-01T22:00:00+00:00/2026-04-01T23:00:00+00:00,60.0,diluent-propagated (from SRU-O2),,,,,Invalid because diluent SRU-O2 was down,,auto,diluent-propagation,,(i),2026-04-01T22:00:00+00:00,DILUENT:SRU-O2;CAP:SRU-O2:status-offline:2026-04-01T21:00:00+00:00:2026-04-01T23:00:00+00:00;E16;E16d;E16r
