Analyzer,HourStartUTC,HourLocalLabel,OperatingFraction,Valid,RuleApplied,ContributingEventIDs
Boiler_15 - O2,2026-04-02T08:00:00+00:00,2026-04-02 04:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T09:00:00+00:00,2026-04-02 05:00 EDT,1.0,0,(i),EV1
Boiler_15 - O2,2026-04-02T10:00:00+00:00,2026-04-02 06:00 EDT,1.0,0,(i),EV1
Boiler_15 - O2,2026-04-02T11:00:00+00:00,2026-04-02 07:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T12:00:00+00:00,2026-04-02 08:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T13:00:00+00:00,2026-04-02 09:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T14:00:00+00:00,2026-04-02 10:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T15:00:00+00:00,2026-04-02 11:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T16:00:00+00:00,2026-04-02 12:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T17:00:00+00:00,2026-04-02 13:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T18:00:00+00:00,2026-04-02 14:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T19:00:00+00:00,2026-04-02 15:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T20:00:00+00:00,2026-04-02 16:00 EDT,1.0,1,(i),
Boiler_15 - O2,2026-04-02T21:00:00+00:00,2026-04-02 17:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T06:00:00+00:00,2026-04-02 02:00 EDT,1.0,0,(i),EV4
Boiler_15 - NOx,2026-04-02T07:00:00+00:00,2026-04-02 03:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T08:00:00+00:00,2026-04-02 04:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T09:00:00+00:00,2026-04-02 05:00 EDT,1.0,0,(i),
Boiler_15 - NOx,2026-04-02T10:00:00+00:00,2026-04-02 06:00 EDT,1.0,0,(i),
Boiler_15 - NOx,2026-04-02T11:00:00+00:00,2026-04-02 07:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T12:00:00+00:00,2026-04-02 08:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T13:00:00+00:00,2026-04-02 09:00 EDT,1.0,0,(iii)(A),EV3
Boiler_15 - NOx,2026-04-02T14:00:00+00:00,2026-04-02 10:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T15:00:00+00:00,2026-04-02 11:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T16:00:00+00:00,2026-04-02 12:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T17:00:00+00:00,2026-04-02 13:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T18:00:00+00:00,2026-04-02 14:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T19:00:00+00:00,2026-04-02 15:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T20:00:00+00:00,2026-04-02 16:00 EDT,1.0,1,(i),
Boiler_15 - NOx,2026-04-02T21:00:00+00:00,2026-04-02 17:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T06:00:00+00:00,2026-04-02 02:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T07:00:00+00:00,2026-04-02 03:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T08:00:00+00:00,2026-04-02 04:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T09:00:00+00:00,2026-04-02 05:00 EDT,1.0,0,(i),
Boiler_15 - CO,2026-04-02T10:00:00+00:00,2026-04-02 06:00 EDT,1.0,0,(i),
Boiler_15 - CO,2026-04-02T11:00:00+00:00,2026-04-02 07:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T12:00:00+00:00,2026-04-02 08:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T13:00:00+00:00,2026-04-02 09:00 EDT,1.0,0,(iii)(A),EV3
Boiler_15 - CO,2026-04-02T14:00:00+00:00,2026-04-02 10:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T15:00:00+00:00,2026-04-02 11:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T16:00:00+00:00,2026-04-02 12:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T17:00:00+00:00,2026-04-02 13:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T18:00:00+00:00,2026-04-02 14:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T19:00:00+00:00,2026-04-02 15:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T20:00:00+00:00,2026-04-02 16:00 EDT,1.0,1,(i),
Boiler_15 - CO,2026-04-02T21:00:00+00:00,2026-04-02 17:00 EDT,1.0,1,(i),
